screen_name	user_id	tweet_count	story_count	stories_comma_separated
WorldnewsPoli	789266125485998080	89	42	9101351936,7311276930,3991299972,8171378310,7911363649,3161251337,5671331212,2191388952,6611310995,7641344150,5081349527,5581300504,9211343643,7321319452,9251362850,3721370822,5541371181,7171400497,8281346356,2451384510,6811271489,7441342406,3301307335,1601395340,6661347918,3671289681,9181303763,4621402464,4541253975,4911411930,8201293404,8701316574,3061364447,9691358304,5111266657,8091298917,1181376998,8661246191,5931373766,5731267571,3031279483,3911263100
hyddrox	1671234620	80	39	1241264386,8991220611,3991299972,4091283718,323528839,2541291786,6481194123,3681215884,781754897,8251190546,6611310995,875529390,7641344150,9031282968,8411192345,9211343643,6331166364,6191210916,5151157930,3941207982,3901218867,8281346356,4881270967,805815860,5261286863,460819792,3671289681,8921361878,4161165530,8701316574,6831193826,242805349,2761222898,5731267571,256671348,9471197686,2531236600,1491133308,3771181567
OnlineCleveland	2753146444	62	37	147909124,271387142,942494604,518978191,236609297,582457493,325646614,387579805,259990178,527932195,721310428,7661019947,357578800,174718131,990509236,8231029693,323802689,812639426,190816579,125711301,3251018569,487991499,489496275,268384732,7841015930,498989151,474789348,641644394,732852332,174638191,739465939,961964277,692886519,448939770,660727163,365601789,432493310
DailySanDiego	2630842499	49	37	155892608,3691069568,9871042182,4291010951,2961082248,532708620,518978191,9301067408,661936786,685817619,2101059873,259990178,817603110,2191025960,811717417,7661019947,8211121472,731668409,8231029693,994672192,487991499,725887884,348675915,186854649,655442648,7791112153,991925211,7841015930,498989151,2181027300,906673898,732852332,548976621,5331020918,5251089401,448939770,318851454
SpecialAffair	2951556370	51	36	653841923,957307910,363329423,236609297,238511379,639546907,271387142,8781153712,186854649,990509236,457500342,920537144,114695903,269825728,323802689,384333261,903312592,739465939,268334806,283525463,518978191,2691180636,772693157,151421537,2941038179,629338214,267330300,9871042182,955645167,944827252,961964277,579832822,840897785,455499898,390692476,318851454
DallasTopNews	2675966513	50	33	155892608,7661019947,2961082248,494272393,599826954,661936786,5581300504,7081398170,5731267571,456437157,860874539,174718131,816785209,8231029693,129435454,323802689,525670339,485436494,489496275,7791112153,4161165530,7841015930,772693157,131443168,572774378,732852332,7621073779,944827252,5291035893,433373690,3031279483,365601789,559902206
gloed_up	3312143142	57	32	878835840,3571040642,593993602,868999950,3341083151,781754897,2101059873,484821672,6871032876,113885811,2181064542,498989151,8231029693,675737534,408828994,190816579,900779460,663940807,9541075402,160715595,6551062352,4131163483,341701854,3811107423,293988581,7651063785,548976621,812975985,7621073779,944827252,5331020918,523822204
OaklandOnline	3074013672	39	32	3691069568,155892608,4291010951,725887884,4411141645,9301067408,7371058705,685817619,2101059873,2191025960,811717417,8211121472,3491139254,731668409,994672192,323802689,487991499,477651409,6441060307,7791112153,7841015930,747536990,498989151,497576162,716563555,2181027300,293988581,824660582,5331020918,5251089401,448939770,318851454
ChesPlaysChess	1877492857	104	31	643448832,323528839,942494604,781754897,238511379,582457493,697432856,639546907,456437157,875529390,8281346356,4881270967,920537144,805815860,129435454,837431616,131443168,485436494,460819792,114549713,483501399,655442648,4131163483,819440864,5111266657,635471587,732544619,472472177,579832822,3911263100,432493310
tpartynews	3990577513	68	30	3571040642,9871042182,3161251337,3681215884,9841185677,1011247508,1971249944,7951213214,715930790,5151157930,746974770,3941207982,1801131186,7621073779,5251195721,8381225301,4231198553,4131163483,3651214687,5081132518,7651063785,7781170412,548976621,853929582,3351250928,5731267571,9471197686,7991119764,9521177854,2801223509
PhiladelphiaON	2620614029	32	28	9101351936,269825728,8071420930,957307910,271387142,2191388952,131569186,3591233827,984767780,8171378310,7621073779,990509236,366249911,721895615,994672192,6781268418,903312592,3671289681,345894739,4231198553,487899999,325341412,294340722,739465939,961964277,2001329271,433373690,877464830
Baltimore0nline	3071479646	35	26	424876288,201674752,147909124,684890843,532708620,661936786,685817619,413912219,527932195,817603110,174718131,323802689,190816579,878835840,489496275,284607188,477599573,991925211,825758558,824660582,732852332,959769711,739465939,878598393,390692476,318851454
DorothieBell	1833223908	33	24	227434242,228344336,781754897,5581300504,8411192345,701526175,565834796,469907255,781893945,593492412,485905725,261532991,5251195721,989342175,966531296,5831261923,8021262180,9491237221,1951191914,2461182702,681814133,186854649,3911263100,3771181567
StLouisOnline	3074563039	27	22	878835840,155892608,8171378310,2961082248,942494604,5581300504,639546907,259990178,684890843,8781153712,8231029693,716563555,585514587,498989151,432493310,2941038179,474789348,732544619,813622333,5291035893,840897785,559902206
Seattle_Post	2611151319	27	22	424876288,9871042182,518978191,106513170,639546907,4371051804,484821672,357578800,805815860,366249911,731668409,449794368,125711301,188967884,655442648,684890843,455499898,825758558,716563555,692886519,448939770,390692476
